age,MonthlyIncome,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfDependents,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTimes90DaysLate,RevolvingUtilizationOfUnsecuredLines,SeriousDlqin2yrs
26,1176.15,0.3005,7,1,0,0,0,0.1491,1
66,7174.49,0.1654,8,0,0,0,0,0.2934,1
59,7402.96,0.0998,8,0,0,0,0,0.5549,0
46,2739.09,0.1078,8,3,0,0,0,0.1761,0
46,4977.91,0.2524,7,1,0,0,0,0.6726,1
71,3196.27,0.284,9,0,1,0,0,0.0625,1
26,4209.69,0.0349,5,2,1,0,0,0.5482,0
62,1829.22,0.386,4,1,0,0,1,0.1911,0
32,5289.59,0.3453,6,1,1,0,0,0.0286,1
26,1360.07,0.3965,5,0,0,1,0,0.4976,1
52,1214.44,0.2584,8,0,0,0,0,0.4571,0
78,3384.1,0.1346,6,2,0,0,0,0.0523,0
64,3207.52,0.5409,11,1,0,1,0,0.1312,0
65,4287.17,0.1613,8,3,0,0,0,0.2095,0
63,2465.86,0.1663,7,1,0,0,0,0.5395,0
67,11287.09,0.2539,5,1,1,0,0,0.2281,0
51,4009.26,0.2463,5,1,0,0,0,0.3311,1
28,4186.96,0.2184,7,2,1,0,0,0.0514,0
70,4098.35,0.308,8,3,0,0,0,0.4919,1
47,6645.84,0.0881,7,0,1,0,0,0.0861,1
50,5144.12,0.1866,7,1,0,0,1,0.0225,1
42,4746.73,0.1166,7,0,0,1,0,0.2351,1
31,5662.33,0.0206,4,1,0,0,0,0.4128,1
75,1218.32,0.1222,8,0,0,1,0,0.4787,1
67,1246.25,0.2983,3,1,0,0,1,0.3747,1
58,3478.53,0.2771,4,1,1,0,0,0.6175,1
44,3233.74,0.1795,11,1,0,0,0,0.1818,0
69,5155.84,0.1935,7,0,0,0,0,0.3313,0
53,3684.94,0.0224,5,3,0,0,0,0.2975,0
47,5162.2,0.7298,7,0,0,1,0,0.466,1
47,1724.41,0.3788,9,1,0,0,0,0.0253,1
34,3617.55,0.3209,4,1,0,1,0,0.4935,0
26,1628.42,0.3993,5,1,0,1,0,0.1433,1
53,4592.2,0.3478,5,0,1,0,0,0.2058,1
73,1179.72,0.1743,7,3,1,0,1,0.5453,1
24,4487.21,0.0601,10,0,1,0,1,0.1816,0
71,1508.09,0.1075,8,1,0,0,0,0.0216,1
69,2892.52,0.0374,6,0,0,0,0,0.0324,1
37,6228.91,0.4195,5,1,1,0,0,0.7475,1
58,4173.16,0.5634,6,1,0,0,0,0.076,1
30,1356.42,0.393,9,0,1,0,0,0.6056,1
65,2432.23,0.1302,7,1,2,0,0,0.2454,1
62,1479.08,0.4091,5,2,0,0,1,0.1379,1
41,1317.04,0.3108,6,2,1,0,0,0.0291,1
25,3907.28,0.4715,7,3,0,0,0,0.3388,1
78,5095.84,0.6469,7,1,1,0,0,0.2845,1
47,4742.71,0.2034,3,0,0,0,0,0.0666,0
73,5226.91,0.0883,8,0,0,0,0,0.2854,0
60,3615.02,0.2652,0,0,0,0,0,0.379,1
66,3090.12,0.2328,6,1,1,0,0,0.1823,0
65,1912.48,0.1752,2,2,0,0,0,0.2288,0
32,2796.02,0.2303,6,3,0,0,0,0.553,1
42,1647.79,0.3682,5,3,0,0,0,0.3425,1
48,2192.73,0.0491,4,1,0,0,0,0.3129,1
50,3840.49,0.2446,6,0,0,1,0,0.5197,1
23,3392.48,0.3724,6,2,0,0,0,0.0054,1
53,22898.73,0.5408,11,0,0,0,0,0.2758,1
30,1623.8,0.2578,1,1,0,0,0,0.0488,1
64,3377.67,0.2246,3,0,0,0,0,0.2207,0
61,1549.61,0.176,3,0,0,0,0,0.8505,0
75,2885.14,0.0168,4,1,0,0,0,0.0761,0
64,2956.45,0.0728,5,2,0,0,0,0.1886,0
42,6044.64,0.4479,4,1,1,0,0,0.035,0
78,2779.98,0.369,5,0,1,0,1,0.1472,1
45,3246.1,0.1098,3,1,0,0,0,0.597,0
40,2812.44,0.287,8,2,0,0,0,0.3461,1
74,1570.84,0.2135,8,0,0,0,0,0.0928,0
42,2462.02,0.0121,7,2,0,0,0,0.2995,1
25,2895.28,0.232,7,4,1,0,0,0.3562,0
48,3805.85,0.3984,6,1,0,0,0,0.6316,1
67,5091.71,0.34,7,0,0,1,0,0.159,0
32,3162.89,0.5685,5,0,0,0,0,0.2336,1
48,3129.71,0.2088,5,1,0,1,0,0.0162,1
28,1296.61,0.309,6,1,0,1,0,0.3653,1
61,5033.35,0.2528,9,0,0,0,0,0.3268,0
49,2398.17,0.2087,7,3,1,0,0,0.22,0
40,5700.3,0.1093,5,1,0,1,0,0.4472,0
34,8021.37,0.2358,8,0,0,0,0,0.0751,0
54,3252.73,0.3493,8,1,1,1,0,0.2672,1
60,1970.44,0.5335,3,2,0,0,0,0.0583,0
76,3604.65,0.2938,6,1,0,1,1,0.4733,1
46,4488.26,0.6102,8,1,0,0,0,0.193,0
30,3012.99,0.2615,6,0,0,0,0,0.7856,1
70,2595.61,0.3593,5,2,0,0,1,0.2266,1
58,5105.73,0.1923,7,0,0,0,0,0.1206,1
62,4907.63,0.1539,9,1,0,0,0,0.3076,1
26,2957.87,0.5751,8,2,0,0,0,0.2773,1
39,1349.6,0.2524,6,2,1,0,0,0.3665,0
66,4787.8,0.1121,11,1,1,0,0,0.0692,0
70,2297.56,0.6303,8,0,2,0,0,0.2835,0
46,4140.64,0.257,6,0,1,0,0,0.2489,1
68,3986.6,0.2209,6,0,0,0,0,0.7776,0
70,1172.19,0.0579,7,1,1,0,0,0.0978,0
43,3822.46,0.3982,5,1,0,0,0,0.1359,0
73,4957.81,0.486,4,0,1,0,0,0.2436,1
38,5336.32,0.4369,6,0,0,0,0,0.1933,0
35,3906.59,0.3356,5,1,0,0,0,0.1773,0
61,1111.75,0.2259,6,0,0,0,0,0.5712,1
58,7834.16,0.2931,6,3,0,1,0,0.377,0
29,4659.27,0.2062,6,0,0,0,0,0.2804,1
70,1768.71,0.2886,4,1,0,0,0,0.2536,0
32,2269.56,0.3614,9,1,0,1,1,0.3971,1
68,4182.79,0.3248,6,1,0,0,0,0.2422,0
21,5474.58,0.3849,6,0,1,0,0,0.2511,1
68,2716.83,0.0924,4,1,0,0,0,0.5207,0
67,5974.86,0.0487,10,1,0,0,0,0.4948,0
67,1241.83,0.4737,9,1,2,0,0,0.3716,0
60,1947.93,0.564,3,0,0,0,0,0.3753,0
48,1055.09,0.3363,5,2,1,0,0,0.4565,1
62,2125.06,0.25,4,0,1,0,0,0.3329,0
37,8998.8,0.3345,9,1,0,0,0,0.4493,1
67,12514.98,0.3974,2,2,2,0,0,0.4126,1
53,4191.25,0.4257,7,1,1,1,0,0.1684,1
48,2482.3,0.1784,4,1,0,0,0,0.2259,1
50,3187.58,0.2176,5,0,0,1,0,0.2367,0
