customer_id,age,annual_income,balance,spending_score,tenure_years,num_products,true_segment
C100000,46,3863.8,3092.32,12.7,4.2,1,Occasionnel
C100001,72,6451.94,17169.47,55.1,8.8,3,Fidele
C100002,33,1492.3,-1140.16,38.6,3.1,1,Risque
C100003,26,3010.38,2642.4,1.5,1.5,1,Occasionnel
C100004,34,21077.55,56578.2,100.0,4.5,3,Premium
C100005,24,500.0,392.73,0.0,2.0,1,Risque
C100006,33,5369.22,2969.25,21.1,1.0,1,Occasionnel
C100007,18,4448.82,1549.21,9.3,3.7,3,Occasionnel
C100008,40,3912.18,90237.92,72.3,4.5,5,Premium
C100009,22,6812.22,12730.05,48.7,7.3,2,Fidele
C100010,52,8103.26,11325.97,48.3,7.4,1,Fidele
C100011,37,1535.64,1466.32,13.4,0.0,2,Risque
C100012,41,4361.0,266.59,17.5,2.8,1,Occasionnel
C100013,31,2245.57,3617.47,23.7,3.1,1,Occasionnel
C100014,30,5872.54,21601.25,42.2,8.3,1,Fidele
C100015,42,5455.68,17250.94,50.3,7.2,1,Fidele
C100016,26,4752.26,1932.96,27.8,2.2,1,Occasionnel
C100017,48,18752.0,121489.03,74.4,12.5,6,Premium
C100018,27,2511.68,1927.65,20.0,0.6,1,Occasionnel
C100019,37,3012.17,2822.32,62.9,2.1,1,Occasionnel
C100020,18,1951.98,3104.45,11.1,0.5,1,Occasionnel
C100021,71,7863.45,32373.18,68.2,8.7,1,Fidele
C100022,18,2657.56,-1691.1,22.6,3.3,2,Risque
C100023,32,2047.78,-3283.65,20.0,0.1,1,Risque
C100024,23,3765.19,3014.75,48.1,2.2,2,Occasionnel
C100025,28,948.55,18521.89,57.9,6.5,1,Fidele
C100026,31,5792.64,20469.76,66.5,14.1,2,Fidele
C100027,39,14965.41,109710.43,100.0,10.0,3,Premium
C100028,40,4697.38,8891.97,61.2,7.2,2,Fidele
C100029,29,5596.71,6476.59,27.6,2.7,2,Occasionnel
C100030,29,4340.04,4324.76,20.1,3.1,1,Occasionnel
C100031,18,3722.29,2271.35,29.4,0.7,1,Risque
C100032,30,9406.52,17114.41,47.7,9.7,4,Fidele
C100033,51,6118.13,21415.93,35.2,6.0,2,Fidele
C100034,34,5878.57,17017.71,43.9,10.8,4,Fidele
C100035,48,6902.76,16114.97,46.9,10.2,3,Fidele
C100036,42,5600.12,49897.44,84.2,8.1,2,Premium
C100037,24,5809.26,22615.28,46.0,9.3,3,Fidele
